COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
61,"GIL-GO, S.A.",28021,VILLAVERDE,SGS,MADRID,0440_002,2012673,6/13/14,31936,0.424,Cuestionario MS Perfumerías Gilgo Junio 2014
77,SANT BOI  - CC. ALCAMPO,8830,SANT BOI DE LL.,SGS,BARCELONA,465_001,2012688,6/13/14,29664,0.8211,Cuestionario Yves Rocher Mystery Presencial 2014
111,TERRASSA,8221,TERRASSA,SGS,BARCELONA,465_001,2012692,6/10/14,34190,0.8684,Cuestionario Yves Rocher Mystery Presencial 2014
SEP_009,RAMBLA,8002,Barcelona,SGS,BARCELONA,0020_002,2012707,6/10/14,32013,0.8989,Sephora
SEP_009,RAMBLA,8002,Barcelona,SGS,BARCELONA,0020_002,2012708,6/11/14,32013,0.7866,Sephora
SEP_314,LA MAQUINISTA,8030,Barcelona,SGS,BARCELONA,0020_002,2012722,6/14/14,31678,0.8469,Sephora
SEP_321,DIAGONAL MAR,8019,Barcelona,SGS,BARCELONA,0020_002,2012728,6/14/14,30784,0.96,Sephora
SEP_322,GRAN VÍA,8908,Hospitalet de Llobregat,SGS,BARCELONA,0020_002,2012731,6/13/14,31708,0.7444,Sephora
36,LAS PALMAS II -VIERA Y C.,35005,LAS PALMAS,SGS,"PALMAS, LAS",465_001,2012734,6/11/14,33940,0.8284,Cuestionario Yves Rocher Mystery Presencial 2014
E-MD1,Medas /  E-MD1,43005,Altafulla,SGS,TARRAGONA,0201_001,2012736,6/12/14,R00050,0.005,Areas Compra Programada_Abril_2012
10286,10286,43700,VENDRELL,SGS,TARRAGONA,0198_001,2012737,6/12/14,R00050,0.88,DIA LA SELVA C.P.
177,LA LAGUNA - TENERIFE,38205,San Cristóbal de La Laguna,SGS,SANTA CRUZ DE TENERIFE,465_001,2012750,6/12/14,29590,0.8588,Cuestionario Yves Rocher Mystery Presencial 2014
15,ALGECIRAS,11201,ALGECIRAS,SGS,CADIZ,465_001,2012761,6/12/14,33434,0.708,Cuestionario Yves Rocher Mystery Presencial 2014
164,CADIZ - C/ Columela,11004,CADIZ,SGS,CADIZ,465_001,2012764,6/13/14,32670,0.9437,Cuestionario Yves Rocher Mystery Presencial 2014
78,CORDOBA IV -CRUZ CONDE,14003,CORDOBA,SGS,CORDOBA,465_001,2012765,6/13/14,33611,0.8376,Cuestionario Yves Rocher Mystery Presencial 2014
74,GRANADA III,18009,GRANADA,SGS,GRANADA,465_001,2012767,6/13/14,34016,0.773,Cuestionario Yves Rocher Mystery Presencial 2014
592,592,8860,CASTELLDEFELS,SGS,BARCELONA,0198_001,2012776,6/12/14,R29530,0.7943,DIA LA SELVA C.P.
766,766,8840,VILADECANS,SGS,BARCELONA,0198_001,2012779,6/12/14,R29530,0.9271,DIA LA SELVA C.P.
905,905,8840,VILADECANS,SGS,BARCELONA,0198_001,2012780,6/12/14,R29530,0.99,DIA LA SELVA C.P.
824,824,8830,SANT BOI DE LLOBREGAT,SGS,BARCELONA,0197_002,2012781,6/12/14,R29530,0.6,DIA SABADELL COMPRA PROGRAMADA
102,VELEZ MALAGA,29740,TORRE DEL MAR,SGS,MALAGA,465_001,2012785,6/11/14,66,0.8592,Cuestionario Yves Rocher Mystery Presencial 2014
945,945,43580,DELTEBRE,SGS,TARRAGONA,0198_001,2012786,6/12/14,R00050,0.82,DIA LA SELVA C.P.
46,MALAGA III -CC.ROSALEDA,29011,MALAGA,SGS,MALAGA,465_001,2012791,6/13/14,33765,0.9481,Cuestionario Yves Rocher Mystery Presencial 2014
E-QU1,La Pausa /  E-QU1,9290,Quintanapalla,SGS,BURGOS,0201_001,2012793,6/11/14,R00156,0.01,Areas Compra Programada_Abril_2012
E-LO1,Medas /  E-LO1,26000,Logroño,SGS,"RIOJA, LA",0201_001,2012807,6/12/14,R02048,0.01,Areas Compra Programada_Abril_2012
103,VALENCIA VII - CC.BONAIRE,46960,ALDAIA,SGS,VALENCIA,465_001,2012857,6/12/14,33427,0.8,Cuestionario Yves Rocher Mystery Presencial 2014
84,ARENA,46019,VALENCIA,SGS,VALENCIA,0578_001,2012892,6/12/14,29710,0.5365,CENTROS UNICO MYSTERY (JUN_14)
11,VALENCIA - EL CORTE INGLÉS COLÓN,46002,Valencia,SGS,VALENCIA,459_001,2012912,6/12/14,30948,0.892,Cuestionario Amorino Mystery
172,STAND -  CARREFOUR FUENLABRADA,28000,FUENLABRADA,SGS,MADRID,0457_004,2012920,6/11/14,R00028,0.8167,MYSTERY SHOPPER CONSUMO P2 (JUN_14)
119,TENERIFE IV - VILLA II,38300,LA OROTAVA,SGS,SANTA CRUZ DE TENERIFE,465_001,2012923,6/11/14,34073,0.8325,Cuestionario Yves Rocher Mystery Presencial 2014
8252,8252,17300,INCA,SGS,BALEARES,0197_002,2012928,6/11/14,1003,0.6615,DIA SABADELL COMPRA PROGRAMADA
8256,8256,7007,Palma de Mallorca,SGS,BALEARES,0197_002,2012929,6/14/14,1003,0.6882,DIA SABADELL COMPRA PROGRAMADA
